ଷ୍ଟା,29
ଚ୍ଚ,43
ଚ୍ଛ,9
ଶୃ,3
ସ୍କା,258
ର୍ଭି,10
ସ୍ତ୍ରୋ,1
ଙ୍କି,7
ଲ୍ୟା,5
ଦୋ,9
ତ୍ତୀ,4
ଽ,1
ଗ୍ନା,1
କ୍ଷୀ,18
ହଁ,4
ଗୁ୍ଳ,1
ଷ୍ଟ୍ରା,3
ନଂ,2
ଧୈ,2
ଭି,210
ଭା,1287
ର୍ଥେ,1
ଖୀ,5
ଖୁ,28
ଚ୍ଚି,24
ଚ୍ଚା,3
ଣାଂ,1
ପ୍ୟ,2
ଖେ,16
ନ୍ତି,620
ଖୋ,66
ଜୁନ୍,2
ତ୍ତ୍ଵି,2
ମ୍ଭୁ,1
ର୍ଯ୍ୟାୟ,3
କ,4661
ଶ୍ବା,1
ଞ୍ଜ,155
କ୍ଟ୍ରୋ,2
ଞ୍ଚ,166
ଞ୍ଛ,1
ଦ୍ୟ,26
କ୍ଷ,122
ର୍ଜା,8
ଥ,906
କ୍ର,48
କ୍ଳ,9
କ୍ଲ,2
ଗୟା,1
ଛି,276
କ୍ସ,8
କ୍ତ,124
ଞ୍ଜୀ,3
ଵ,1
ମ୍ୟ,8
ମ୍ପୁ,4
ଭ୍ୟା,2
ପ୍ଲି,2
ମ୍ପୂ,10
କ୍ୟ,1
ଧ୍ୟୟ,18
ଲ୍ମ,1
ବିଂ,4
ପ୍ଟ,1
ଭ୍ୟୁ,2
ମ୍ପା,42
ସ୍ପୃ,2
ର୍ଝ,1
ଦ୍ଵ,1
ସେୟା,1
ଦ୍ର,129
ଦ୍ମ,95
ଦ୍ଯ,1
ଛୁ,12
ଛେ,2
ପ୍ଲୋ,4
ଲାଂ,3
ଉଁ,40
ଦ୍ଧ,76
ଣ୍ୟେ,1
ଦି,374
ର୍ତୁ,1
ର୍ଘ୍ୟ,2
ଧ୍ୟା,31
ହତ୍,4
ଖୁବ୍,1
ପ୍ଲ,4
ପ୍ଳ,1
ପ୍ର,1124
ଅସ୍,1
ଆୟୋ,9
ପ୍ପ,1
କ୍ଷୟ,65
ନ୍ତେ,20
ଗାଁ,13
ନ୍ତୁ,463
ନ୍ତୀ,17
ତ୍ତ୍ଵେ,2
ଙ୍ଗୀୟ,1
ଇନ୍,1
ଲ୍ଲେ,6
ପ୍ତ,48
ଖି,143
ଜ଼ି,1
ଭୁ୍ୟ,1
ଦୌ,1
ଟ୍ୟ,32
ର୍ପି,1
ର୍ଦ୍ଦି,2
ରୟା,1
ଛୋ,113
ଖ୍ରୀ,13
ଔ,27
ପ୍ରିୟ,22
ସ୍ଠା,1
ବୟୋ,3
ନ୍ଧ୍ର,5
ହ୍ଵା,4
ମୋଟ୍,1
ର୍କେ,2
ଗ୍ରାଫ୍,1
ତ,1943
ଜୟା,2
ନିୟନ୍,1
ର୍ତ୍ତା,11
ର୍ତୀ,2
ଞ୍ଜି,21
ଞ୍ଜା,15
ଚ୍ଛୁ,1
ବାଂ,2
ଦ୍ବା,3
ଦ୍ୟୁତ୍,1
ଦ୍ଧା,11
ଞ୍ଜୟ,11
ର୍ଦ୍ଦ୍ଦ,2
ଲ୍ଲ,13
ଞ୍ଜୋ,1
ୄ,1
ଞ୍ଜେ,1
ପେୟ,1
ଶ୍ୟା,4
ସୈ,2
ଞ୍ଜୁ,1
ର୍ଜ୍ଜୁ,1
କ୍ରିୟା,1
ବର୍,1
ର୍ୟ,1
ଦ୍ରେ,2
ର୍ଡ଼,3
ଷ୍ଣା,2
ର୍ଜ୍ଜ,1
ଣୟି,1
ଆୟୁ,1
ର୍ଟା,3
ର୍ଟି,8
ର୍ଯ୍ୟା,12
ର୍ସ,4
ଖ୍ରି,1
ଖ୍ରା,1
ଷ୍କା,1
ସ୍ତ୍ର,20
ଷୀୟ,2
ପାସ୍,2
ପ୍ରିୟା,2
ହାଃ,1
କ୍ରିୟ,5
ନିଃ,6
ଚୌ,10
ଷ୍କୃ,1
ଗାନ୍,1
ଶ୍ଵେ,1
ବଂ,107
ର୍ନି,1
ନ୍ଦ୍ର,574
ସ୍ଷ୍ଟା,3
ଶିଖ୍,2
ଚେ,28
ଚୀ,77
ଚୁ,9
ଏ,1484
ଣ୍ଟ୍,1
ତନ୍,1
ଚୟ,13
ଣ୍ଟ୍ରା,2
ଟ,659
ନ୍ନା,181
ଟି,527
ଟା,90
କ୍ଲୋ,1
ଜ୍ର,2
ର୍ଶୀ,4
ଗଲ୍,1
କ୍ତା,5
କ୍ତି,81
ଯ,164
ମାଂ,3
ଧ୍ଧ,2
ଶ୍ରୁ,1
ଶ୍ରୀ,96
ଶ୍ରେ,28
ର୍ସି,3
ବା,1502
ବି,1819
ବାକ୍,1
ି,1
ର୍ଥି,1
ଷ୍ଟ୍ରୀୟ,1
ବେ,628
ଟ୍ସ,1
ସ୍ମୃ,11
ବୃ,115
ବୀ,107
ବୁ,288
ବୌ,22
ମ୍ମା,114
ଶ୍ରି,1
ବୋ,92
ବୈ,161
ଚୟି,6
ଡ୍ରା,1
କ୍ତୃ,1
ମୁଁ,10
ଟୋ,4
କ୍ତେ,1
ଡ୍ର,8
ଟେ,28
ବୟ,28
ତ୍ମି,2
ଥ୍ୟ,22
ୟ,2
ଟୀ,26
ନ୍ନୀ,1
ଣ୍ଟି,4
ଣ୍ଟା,12
ଗ୍ମୀ,1
ହୁଁ,45
ଣୀୟ,1
ଚା,310
ଚି,421
ଅୟେ,1
ଖା,359
ର୍ଚ୍ଚା,3
ଶୀୟ,1
ଫ୍ରେ,2
ଡ଼ୋ,1
ଗ୍ରା,169
ବ୍ୟୋ,1
ଗ୍ୟ,64
ରମ୍,1
ନ୍ଧୀ,4
ନ୍ତ୍ରୀ,19
ଖ୍ୟାୟି,1
ର୍ମି,12
ର୍ମା,23
ର୍ଥୀ,5
ମ୍ରା,19
ସ୍ତ୍ରୀ,11
ସ୍ତା,23
ପାୟ,1
ଞ,8
ମ୍ମି,6
ନ୍ଥୋ,1
ର୍କ୍ସୀୟ,1
ନ୍ମୋ,2
ନ୍ଥୀ,2
ଖ୍ୟା,60
ମ,3540
ବ୍ଦୀ,28
ବ୍ଦେ,1
ଚ୍ଛେ,1
